node_id,wall,building,sky,floor,tree,ceiling,road,bed,windowpane,grass,cabinet,sidewalk,person,earth,door,table,mountain,plant,curtain,chair,car,water,painting,sofa,shelf,house,sea,mirror,rug,field,armchair,seat,fence,desk,rock,wardrobe,lamp,bathtub,railing,cushion,base,box,column,signboard,chest of drawers,counter,sand,sink,skyscraper,fireplace,refrigerator,grandstand,path,stairs,runway,case,pool table,pillow,screen door,stairway,river,bridge,bookcase,blind,coffee table,toilet,flower,book,hill,bench,countertop,stove,palm,kitchen island,computer,swivel chair,boat,bar,arcade machine,hovel,bus,towel,light,truck,tower,chandelier,awning,streetlight,booth,television receiver,airplane,dirt track,apparel,pole,land,bannister,escalator,ottoman,bottle,buffet,poster,stage,van,ship,fountain,conveyer belt,canopy,washer,plaything,swimming pool,stool,barrel,basket,waterfall,tent,bag,minibike,cradle,oven,ball,food,step,tank,trade name,microwave,pot,animal,bicycle,lake,dishwasher,screen,blanket,sculpture,hood,sconce,vase,traffic light,tray,ashcan,fan,pier,crt screen,plate,monitor,bulletin board,shower,radiator,glass,clock,flag,osm_id,OBJECTID,geometry.y
56,0,0.1307861328125,0.4002294921875,0,0.02893310546875,0,0.37968017578125,0,0,0.00611328125,0,0.01183349609375,0,0.03566162109375,0,0,0,0,0,0,0.0067138671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.662109375e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220703125e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9269875,21,"c(679102.646565165, 422705.330818421)"
57,0,0.06384521484375,0.36858154296875,0,0.0693994140625,0,0.42465087890625,0,0,0.0058642578125,0,0.0072998046875,0,0.0188720703125,0,0,0,0.01126708984375,0,0,0.0086865234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01199951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8125e-5,0,0,0,0.00211669921875,0,0,0,0,0,0.00222900390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510986328125,0,0,0,0,0,0,0,0,0,0,0,0,0,9269875,21,"c(679102.646565165, 422705.330818421)"
58,0.01681884765625,0.12918701171875,0.127373046875,0,0.29845947265625,0,0.2163916015625,0,0,0.12273193359375,0,0.00689208984375,0,0.024091796875,0,0,0,0.0034228515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01523681640625,0,0,0,0,0,0,0,0,0.013818359375,0,1.0498046875e-4,0,0,0,0,0,0,0,0,0.02278564453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.349609375e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0018505859375,0,0,0,0,0,0,0,0,0,0,0,833750047,22,"c(678632.880552208, 422778.947678679)"
60,0,0.0175537109375,0.14292724609375,0,0.33180908203125,0,0.31926025390625,0,0,0.03186767578125,0,0.01259521484375,0,0.1274365234375,0,0,4.296875e-4,0,0,0,0.01119384765625,0,0,0,0,0,0,0,0,0,0,0,0.0013916015625,0,0,0,0,0,0.00271240234375,0,0,0,0,2.6611328125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4189453125e-4,0,0,0,0,0,1.1474609375e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262489,22,"c(678632.880552208, 422778.947678679)"
59,0,0.15004150390625,0.21487060546875,0,0.179873046875,0,0.40642333984375,0,0,0.00684814453125,0,0.02324462890625,0,0.008798828125,0,0,0,5.6640625e-4,0,0,0.00705078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258243,22,"c(678632.880552208, 422778.947678679)"
61,7.6904296875e-4,0,0.15272705078125,0,0.43203369140625,0,0.05071044921875,0,0,0.29884521484375,0,0,0,0.06306884765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0498046875e-4,0,0,6.5185546875e-4,0,0,0,0,0,0,0,0,0,0,6.34765625e-5,0,0,0,0,0,0,0,0,2.5390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71484375e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258243,23,"c(678632.259647376, 422829.875076438)"
62,0,0.05800048828125,0.35843994140625,0,0.1136572265625,0,0.30682861328125,0,0,0.03378662109375,0,0.07524658203125,0,0.0519873046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205322265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258243,23,"c(678632.259647376, 422829.875076438)"
64,0,0.00547607421875,0.36162109375,0,0.12781982421875,0,0.46515380859375,0,0,0.02012939453125,0,0.00161865234375,0,0.00360107421875,0,0,0,0.00585693359375,0,0,0.004287109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.197265625e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,"c(677681.148883526, 421110.129460717)"
63,0,0.00313232421875,0.2647216796875,0,0.24888671875,0,0.21943115234375,0,0,0.13672607421875,0,0,0.00469970703125,0.11291015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904296875e-4,0,0,0,0,0,0,0,0,0,0,0.0093017578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258243,23,"c(678632.259647376, 422829.875076438)"
67,0.00382080078125,0.0306884765625,0.3555419921875,0,0.14422607421875,0,0.18968017578125,0,0,0.125927734375,0,0.07454833984375,0,0.05489013671875,0,0,0,0.01628662109375,0,0,0.00123046875,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61328125e-4,0,0,0,0,0,0,0,0,4.58984375e-4,0,0,0,0,0,0,0,0,0.0021533203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85546875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9272664,25,"c(677681.309325524, 421046.928912841)"
